noop,fork-simple,vfork-simple
20,44628,10477
21,45150,11072
21,41278,13785
21,42766,10312
21,46478,12244
21,41619,10363
21,43274,11255
20,41578,10491
21,47116,10038
21,43015,11217
21,42433,10735
21,42637,11646
21,46598,10540
21,41329,10553
20,41977,10590
21,45292,504844
21,44018,13267
22,42950,14098
21,42384,10789
21,46675,10529
21,44205,10198
21,42541,11078
21,42095,10607
21,44858,10524
21,43620,10949
21,42050,10712
21,42619,9922
22,45739,10601
21,44195,10264
22,42232,10007
22,45521,10026
21,43296,10269
21,43572,10119
21,42332,18157
21,44892,12571
21,43061,12145
21,44975,11032
22,42340,11592
21,45493,12325
22,42458,12081
21,45586,11783
21,45959,12056
21,44106,12683
21,42704,12003
21,42337,12058
21,44802,12531
21,42412,12044
21,41498,12171
21,42210,17921
21,46502,12690
21,45979,12317
21,42730,12115
21,44811,11950
21,42846,12178
21,42769,11400
21,41721,13622
21,46012,11473
21,42133,12855
21,41887,11693
21,41709,12088
21,44994,12157
21,41842,12068
21,42674,11600
21,42252,11362
21,45141,15299
21,43027,12621
20,42203,12145
21,45355,12602
21,42054,11211
21,42669,12019
21,41904,11783
21,44722,12347
21,41940,12835
21,42373,12051
21,42346,11843
21,46628,11346
21,42888,12533
21,42771,12049
21,45676,12151
21,42938,12042
21,42024,18312
21,42194,12706
21,45874,12464
20,41341,12088
21,42920,12360
21,41983,11719
21,44642,12268
21,43487,12276
21,41646,11951
21,44720,12090
22,44155,12345
22,42339,11986
20,42400,11556
21,45417,12124
20,42659,11788
21,42007,15478
21,42324,11939
20,45962,12690
21,41997,13594
21,42190,11780
22,41984,11599
21,45950,11931
21,42965,11770
21,42214,12316
21,47800,11828
22,42724,11877
21,43165,13712
21,45569,10968
22,46778,12527
21,42323,12545
21,44879,10954
21,42059,13533
21,46152,14409
21,41324,12410
21,41835,11871
21,45574,11433
21,43414,12280
21,42573,12028
20,42874,11901
21,46161,11295
21,43887,11631
21,41920,12476
21,43173,11629
21,45679,12383
21,43402,11032
22,41994,12171
21,45488,16352
21,42902,10301
21,44331,9888
21,42784,10643
21,44559,10266
22,41759,10187
21,44608,10075
21,150573,10256
21,45750,9929
22,42829,10086
21,42548,10743
21,42263,10686
21,45097,10217
21,41633,10484
21,41345,11669
21,45341,10537
20,41519,14349
21,41362,10356
23,43036,11377
21,45868,10720
20,42364,10186
21,42729,10359
21,42672,10809
22,46036,10449
21,43179,10646
21,42171,10193
21,45161,10518
21,42897,10429
23,43306,12333
21,42116,10536
21,46304,10461
20,41984,14468
21,42156,10197
21,42059,10858
21,45800,10678
21,42191,10846
21,42278,10380
21,44888,10111
22,44681,9945
21,42008,12366
21,42091,11732
20,44854,11578
23,41762,14373
21,41649,11820
20,42635,11025
23,46421,11447
20,42709,11265
21,41734,14527
20,42969,11097
21,45933,11437
20,42655,11235
21,42856,10753
21,46130,11074
21,42356,10521
21,42034,11290
21,41650,11334
22,44823,12189
21,42650,12739
22,43231,12486
20,42986,10935
21,45952,10095
21,42139,10370
21,42420,14071
22,44833,12442
20,42029,10262
21,42828,10076
21,42212,9865
21,44956,12347
21,41474,10280
21,41295,10167
21,41995,11895
21,45267,12885
21,42957,10220
21,41673,10243
22,45387,10217
21,42654,14255
21,43924,10643
21,42899,9888
21,45134,13252
21,42266,12219
21,42936,10116
21,43274,10039
21,46166,11978
