      start,   overhead,     sycall,   swapgs_k,      cr3_k,  push_regs, func_entry,  func_exit, ret_checks,   pop_regs,      cr3_u,   swapgs_u,     sysret
          0,        220,        504,        736,        972,       1215,       1507,       1819,       2060,       2296,       2535,       2766,       3054
          0,        218,        503,        736,        974,       1217,       1515,       1825,       2062,       2297,       2537,       2769,       3064
          0,        221,        509,        744,        979,       1221,       1473,       1782,       2018,       2253,       2489,       2721,       3013
          0,        221,        506,        741,        976,       1218,       1469,       1781,       2021,       2256,       2494,       2726,       3018
          0,        219,        503,        737,        974,       1218,       1511,       1819,       2058,       2293,       2532,       2765,       3057
          0,        219,        506,        739,        977,       1219,       1516,       1826,       2063,       2298,       2536,       2768,       3060
          0,        220,        504,        739,        974,       1215,       1466,       1777,       2016,       2252,       2488,       2720,       3212
          0,        221,        505,        738,        972,       1217,       1515,       1823,       2061,       2296,       2533,       2766,       3053
          0,        220,        504,        739,        974,       1216,       1509,       1820,       2060,       2296,       2532,       2764,       3051
          0,        220,       1414,       1649,       1884,       2125,       2424,       2734,       2973,       3209,       3446,       3678,       3965
          0,        220,        503,        738,        973,       1216,       1467,       1776,       2012,       2247,       2486,       2718,       3010
          0,        219,        503,        737,        974,       1218,       1469,       1777,       2016,       2251,       2490,       2723,       3020
          0,        219,        503,        737,        972,       1216,       1515,       1825,       2061,       2298,       2535,       2768,       3055
          0,        221,        506,        739,        975,       1218,       1516,       1824,       2063,       2298,       2538,       2770,       3065
          0,        220,        503,        738,        973,       1216,       1510,       1819,       2058,       2293,       2529,       2761,       3262
          0,        220,        504,        736,        971,       1213,       1511,       1820,       2061,       2297,       2536,       2767,       3055
          0,        221,        510,        746,        981,       1224,       1475,       1787,       2024,       2259,       2498,       2731,       3018
          0,        219,        503,        734,        967,       1209,       1512,       1822,       2058,       2291,       2527,       2759,       3055
          0,        218,        503,        738,        974,       1217,       1514,       1823,       2060,       2294,       2534,       2766,       3061
          0,        221,        504,        738,        973,       1215,       1467,       1779,       2015,       2252,       2489,       2721,       3013
          0,        221,        504,        738,        973,       1215,       1511,       1820,       2056,       2291,       2530,       2762,       3059
          0,        219,        503,        736,        970,       1212,       1510,       1818,       2057,       2292,       2531,       2764,       3056
          0,        220,        504,        736,        972,       1215,       1467,       1780,       2018,       2254,       2493,       2724,       3221
          0,        219,        504,        739,        974,       1218,       1517,       1827,       2067,       2302,       2541,       2773,       3060
          0,        221,        505,        737,        973,       1216,       1509,       1821,       2059,       2295,       2534,       2765,       3058
          0,        219,        503,        736,        973,       1216,       1509,       1819,       2059,       2294,       2533,       2765,       3052
          0,        218,        507,        742,        980,       1223,       1475,       1785,       2023,       2261,       2499,       2731,       3026
          0,        221,        505,        739,        974,       1217,       1469,       1779,       2017,       2252,       2489,       2724,       3014
          0,        220,        504,        737,        974,       1217,       1512,       1821,       2060,       2296,       2532,       2764,       3052
          0,        219,        503,        736,        970,       1212,       1513,       1820,       2059,       2294,       2533,       2766,       3058
          0,        219,        504,        737,        973,       1216,       1510,       1820,       2057,       2292,       2532,       2764,       3265
          0,        221,        506,        739,        975,       1217,       1512,       1821,       2060,       2295,       2532,       2764,       3059
          0,        219,        503,        736,        970,       1213,       1464,       1774,       2012,       2247,       2484,       2716,       3005
          0,        219,        503,        988,       1224,       1468,       1762,       2072,       2309,       2544,       2783,       3015,       3302
          0,        219,        503,        736,        972,       1214,       1466,       1776,       2015,       2250,       2486,       2718,       3006
          0,        220,        504,        736,        971,       1213,       1465,       1778,       2016,       2252,       2491,       2722,       3010
          0,        219,        506,        739,        974,       1216,       1510,       1819,       2058,       2293,       2531,       2763,       3060
          0,        220,        504,        737,        974,       1217,       1513,       1823,       2062,       2299,       2536,       2768,       3060
