      start,   overhead,     sycall,   swapgs_k,      cr3_k,  push_regs, func_entry,  func_exit, ret_checks,   pop_regs,      cr3_u,   swapgs_u,     sysret
          0,        219,        506,        739,        976,       1219,       1518,       1828,       2065,       2301,       2539,       2771,       3061
          0,        219,        503,        737,        974,       1219,       1515,       1823,       2060,       2296,       2533,       2768,       3265
          0,        219,        504,        738,        975,       1219,       1519,       1829,       2065,       2301,       2537,       2769,       3059
          0,        219,        503,        737,        974,       1218,       1472,       1780,       2017,       2253,       2490,       2723,       3013
          0,        219,        503,        848,       1085,       1329,       1627,       1937,       2173,       2409,       2646,       2881,       3171
          0,        219,        504,        738,        975,       1218,       1471,       1782,       2018,       2254,       2491,       2723,       3013
          0,        219,        508,        743,        979,       1222,       1476,       1785,       2022,       2258,       2495,       2728,       3018
          0,        219,        503,        737,        974,       1216,       1511,       1819,       2056,       2292,       2529,       2764,       3054
          0,        327,        618,        850,       1087,       1330,       1626,       1935,       2173,       2410,       2647,       2879,       3169
          0,        220,        505,        738,        975,       1219,       1515,       1823,       2059,       2295,       2532,       2764,       3259
          0,        220,        511,        744,        981,       1224,       1520,       1830,       2068,       2305,       2541,       2773,       3063
          0,        219,        510,        744,        981,       1224,       1478,       1791,       2028,       2264,       2501,       2736,       3026
          0,        220,        504,        736,        974,       1219,       1516,       1826,       2064,       2301,       2538,       2771,       3062
          0,        219,        511,        745,        982,       1225,       1521,       1830,       2066,       2302,       2539,       2774,       3064
          0,        218,        510,        743,        980,       1223,       1476,       1786,       2025,       2259,       2495,       2728,       3019
          0,        221,        509,        742,        979,       1222,       1518,       1832,       2069,       2305,       2542,       2774,       3067
          0,        220,        504,        736,        973,       1215,       1511,       1822,       2059,       2296,       2533,       2766,       3062
          0,        219,        510,        744,        981,       1224,       1477,       1785,       2021,       2257,       2494,       2727,       3225
          0,        219,        503,        737,        974,       1219,       1514,       1822,       2059,       2295,       2532,       2767,       3057
          0,        219,        510,        743,        979,       1223,       1519,       1832,       2068,       2301,       2538,       2770,       3063
          0,        219,        618,        852,       1089,       1332,       1627,       1934,       2170,       2406,       2643,       2876,       3166
          0,        219,        504,        738,        975,       1218,       1471,       1782,       2018,       2254,       2491,       2726,       3021
          0,        219,        503,        736,        973,       1216,       1470,       1782,       2018,       2254,       2491,       2723,       3016
          0,        219,        503,        737,        974,       1219,       1515,       1826,       2062,       2298,       2535,       2770,       3060
          0,        219,       1049,       1282,       1518,       1761,       2056,       2369,       2605,       2841,       3078,       3311,       3601
          0,        220,        504,        737,        974,       1217,       1513,       1826,       2064,       2301,       2538,       2771,       3266
