noop,fork-simple,vfork-simple
21,41116,9977
20,45950,15616
21,41965,15117
20,43602,10363
22,41970,10266
20,43567,9785
21,40766,14852
21,41781,9234
21,41054,9966
21,44997,9646
21,41600,15488
22,42045,9567
20,41642,10739
21,44645,9721
21,40519,15033
21,40805,12490
21,44176,13203
20,40882,15235
21,40541,16486
21,40389,9726
21,43069,9637
22,41007,9815
21,40548,14677
21,40404,10045
22,44813,9579
20,42100,9279
21,41830,15796
21,43814,9911
21,41198,10919
21,41415,12818
21,41368,19041
21,44375,12659
21,40984,9517
22,40854,9616
21,40766,12943
21,44420,10147
21,40684,10789
21,41428,9570
21,44497,15064
21,41737,9651
21,41792,9685
21,40940,9650
21,43623,15060
21,40945,14002
21,40695,9825
21,40043,15014
22,43408,15087
20,41181,13402
21,43707,9561
21,40621,9237
22,44017,15005
21,40371,9914
21,39993,9855
22,44595,9385
20,40366,14206
21,40918,9353
21,41974,9635
21,43959,12209
21,41418,15219
21,41027,9494
21,40863,12131
21,45074,9553
21,41454,18816
21,41448,10849
21,44416,9619
22,41385,9385
20,42465,15016
21,40659,9856
21,47546,11087
21,40027,10331
21,40619,14808
20,43809,11962
20,45573,9966
21,41053,15053
21,40458,15482
21,42881,9760
20,41889,9535
21,40387,14423
21,40823,15167
20,44658,9310
22,42654,9872
21,40721,9385
21,41931,14278
21,44821,9720
21,42144,9468
20,41311,12349
21,43799,12881
21,41231,9448
21,44084,9418
21,41276,9563
22,44223,12500
21,41024,9461
21,42950,11080
21,41518,12785
21,45575,14734
21,40977,9536
21,41216,9815
21,40566,9575
21,42548,16258
21,40016,12609
21,40631,10232
21,43745,15800
21,40607,17903
21,41710,9479
20,41310,9708
21,44057,9300
21,41253,13656
21,41951,9673
21,41037,12938
21,45033,9312
21,42491,12803
21,41460,9933
22,44140,9737
21,42078,13215
21,41231,14333
21,41651,9576
21,43748,9640
21,42442,9626
21,41389,14961
21,41985,9877
22,45180,9610
21,40595,9578
21,40598,15352
21,43047,9647
21,41069,13823
21,39882,9547
22,39973,15667
22,43874,12588
21,40446,9691
21,40949,15923
22,40444,14081
21,44235,10312
22,42274,11264
21,41761,9691
21,43925,14451
21,41988,9734
21,41719,9467
21,41425,9767
21,43489,13906
21,44584,13270
21,41588,9421
21,40356,12458
21,44658,14932
21,41244,9905
22,41358,12230
21,41762,9415
21,44178,15201
21,40921,10333
21,41089,9580
21,43058,9472
21,40369,15411
22,41201,9822
21,41410,9711
21,43705,9406
21,40126,13808
21,40208,16523
21,39780,10709
