CPU,mitigation,kernel,benchmark,adjusted,mean,median,p1,p25,p50,p75,p99,std,iqr,min,max
Neoverse-N1,mitigations=off,fccmp,noop,False,828.9654,828.0,818.0,825.0,828.0,830.0,857.0,48.06978055743546,5.0,809,5543
Neoverse-N1,mitigations=off,fccmp,vdso,False,861.5685,857.0,847.0,853.0,857.0,861.0,915.0,92.34868438559371,8.0,837,6641
Neoverse-N1,mitigations=off,fccmp,syscall,False,1080.2603,1078.0,1067.0,1075.0,1078.0,1081.0,1091.0,94.65138638134151,6.0,1053,6386
Neoverse-N1,mitigations=off,fccmp,ioctl,False,1136.9626,1132.0,1118.0,1128.0,1132.0,1137.0,1176.0,261.61808194625996,9.0,1103,25951
Neoverse-N1,mitigations=off,fccmp,noop,True,0.9654,0.0,-10.0,-3.0,0.0,2.0,29.0,48.06978055743546,5.0,-19.0,4715.0
Neoverse-N1,mitigations=off,fccmp,vdso,True,33.5685,29.0,19.0,25.0,29.0,33.0,87.0,92.34868438559371,8.0,9.0,5813.0
Neoverse-N1,mitigations=off,fccmp,syscall,True,252.2603,250.0,239.0,247.0,250.0,253.0,263.0,94.65138638134151,6.0,225.0,5558.0
Neoverse-N1,mitigations=off,fccmp,ioctl,True,308.9626,304.0,290.0,300.0,304.0,309.0,348.0,261.61808194625996,9.0,275.0,25123.0
AMD_Ryzen_7_3700X_8-Core_Processor,mitigations=off,fastcall,noop,False,28.024109643857543,28.0,28.0,28.0,28.0,28.0,28.0,0.4223627750033337,0.0,28,49
AMD_Ryzen_7_3700X_8-Core_Processor,mitigations=off,fastcall,fastcall,False,115.21977361514575,115.0,115.0,115.0,115.0,115.0,124.0,1.3555461733429568,0.0,113,179
AMD_Ryzen_7_3700X_8-Core_Processor,mitigations=off,fastcall,noop,True,0.024109643857543016,0.0,0.0,0.0,0.0,0.0,0.0,0.4223627750033337,0.0,0.0,21.0
AMD_Ryzen_7_3700X_8-Core_Processor,mitigations=off,fastcall,fastcall,True,87.21977361514575,87.0,87.0,87.0,87.0,87.0,96.0,1.3555461733429568,0.0,85.0,151.0
AMD_Ryzen_7_3700X_8-Core_Processor,mitigations=off,fccmp,noop,False,28.018405521656497,28.0,28.0,28.0,28.0,28.0,28.0,0.4107456049516739,0.0,25,49
AMD_Ryzen_7_3700X_8-Core_Processor,mitigations=off,fccmp,vdso,False,31.009805883530117,31.0,30.0,31.0,31.0,31.0,32.0,0.8170094277206326,0.0,30,52
AMD_Ryzen_7_3700X_8-Core_Processor,mitigations=off,fccmp,syscall,False,186.8369946835189,187.0,186.0,186.0,187.0,187.0,193.0,3.256083241889552,1.0,185,353
AMD_Ryzen_7_3700X_8-Core_Processor,mitigations=off,fccmp,ioctl,False,237.81679542490218,235.0,235.0,235.0,235.0,239.0,248.0,4.8042808538335295,4.0,235,357
AMD_Ryzen_7_3700X_8-Core_Processor,mitigations=off,fccmp,noop,True,0.018405521656496948,0.0,0.0,0.0,0.0,0.0,0.0,0.4107456049516739,0.0,-3.0,21.0
AMD_Ryzen_7_3700X_8-Core_Processor,mitigations=off,fccmp,vdso,True,3.009805883530118,3.0,2.0,3.0,3.0,3.0,4.0,0.8170094277206325,0.0,2.0,24.0
AMD_Ryzen_7_3700X_8-Core_Processor,mitigations=off,fccmp,syscall,True,158.8369946835189,159.0,158.0,158.0,159.0,159.0,165.0,3.256083241889552,1.0,157.0,325.0
AMD_Ryzen_7_3700X_8-Core_Processor,mitigations=off,fccmp,ioctl,True,209.81679542490218,207.0,207.0,207.0,207.0,211.0,220.0,4.8042808538335295,4.0,207.0,329.0
AMD_Ryzen_7_3700X_8-Core_Processor,mitigations=auto,fastcall,noop,False,28.04632316158079,28.0,28.0,28.0,28.0,28.0,28.0,0.5525467324711927,0.0,28,49
AMD_Ryzen_7_3700X_8-Core_Processor,mitigations=auto,fastcall,fastcall,False,116.76167100781406,118.0,115.0,115.0,118.0,118.0,119.0,1.8452453515704768,3.0,113,197
AMD_Ryzen_7_3700X_8-Core_Processor,mitigations=auto,fastcall,noop,True,0.046323161580790397,0.0,0.0,0.0,0.0,0.0,0.0,0.5525467324711927,0.0,0.0,21.0
AMD_Ryzen_7_3700X_8-Core_Processor,mitigations=auto,fastcall,fastcall,True,88.76167100781406,90.0,87.0,87.0,90.0,90.0,91.0,1.8452453515704768,3.0,85.0,169.0
AMD_Ryzen_7_3700X_8-Core_Processor,mitigations=auto,fccmp,noop,False,28.018303660732148,28.0,28.0,28.0,28.0,28.0,28.0,0.4301186387699156,0.0,28,49
