noop,vdso,syscall,ioctl
38,39,247,435
38,41,243,450
40,40,246,446
38,39,245,459
38,38,243,448
38,38,244,456
38,39,242,455
37,39,243,442
37,39,240,453
38,39,246,451
37,38,244,448
41,38,246,442
38,42,243,459
38,39,247,450
38,43,245,444
38,39,247,447
38,39,244,453
38,39,245,447
40,38,241,454
38,39,248,444
38,39,244,453
38,38,248,450
38,39,242,442
38,39,246,444
38,38,246,454
38,41,245,450
38,39,245,446
38,39,244,446
38,39,244,460
38,39,244,450
38,43,244,451
40,39,242,454
38,39,242,452
37,41,240,451
38,39,245,447
38,38,244,457
38,39,249,446
38,38,245,448
38,39,244,447
38,39,243,460
38,39,243,455
38,38,241,450
38,39,242,447
38,39,241,431
38,39,242,447
38,39,245,451
38,39,250,452
38,38,245,438
38,38,244,452
38,39,244,446
38,39,245,450
38,38,245,449
38,39,247,456
38,38,238,452
38,39,247,450
38,39,245,446
38,39,247,439
38,39,245,456
38,39,244,451
38,38,244,448
38,38,242,445
38,39,246,456
38,41,239,455
38,39,242,446
38,39,245,450
38,39,246,454
38,39,244,450
37,38,245,443
38,39,245,442
37,39,245,451
38,39,241,444
38,39,246,442
38,39,243,451
38,39,244,443
39,38,249,456
38,41,247,449
41,39,245,454
38,44,246,18446744073709486533
38,39,243,456
38,44,244,443
38,38,247,455
38,39,242,457
37,38,18446744073709486324,456
38,39,245,449
38,38,244,448
38,39,246,442
38,38,243,452
38,39,241,448
38,39,245,445
38,39,244,449
38,38,243,447
37,41,240,447
38,39,243,451
42,38,245,437
38,38,246,454
37,38,244,453
38,39,244,453
38,38,241,434
37,38,244,458
38,40,243,444
37,38,244,449
38,38,244,452
38,39,243,453
40,41,247,450
38,38,247,453
38,38,246,463
38,41,246,453
38,44,246,455
38,39,244,443
38,38,242,18446744073709486528
38,39,245,448
38,44,242,449
38,41,244,460
38,39,244,453
38,39,241,445
38,38,245,448
38,38,246,452
38,39,243,446
38,39,243,453
38,39,242,448
38,39,246,452
38,39,246,453
38,39,245,449
38,38,246,453
38,40,244,448
41,40,243,455
38,38,244,450
38,38,237,445
38,39,247,445
41,38,244,455
38,39,245,448
38,39,246,448
41,39,240,451
38,39,239,453
38,39,241,457
40,39,247,449
38,39,243,450
38,38,246,447
38,41,246,452
38,39,244,449
38,43,240,451
42,39,246,455
42,39,247,449
38,39,239,455
38,39,242,442
38,45,244,444
38,38,247,440
38,39,245,453
38,39,246,451
38,39,246,447
38,39,244,453
38,39,243,448
40,39,246,444
38,39,244,455
38,39,244,449
38,39,244,453
38,39,246,445
38,43,247,446
38,38,246,451
38,38,246,452
38,41,242,445
38,39,241,452
40,41,247,451
37,41,249,443
38,39,245,454
38,38,247,444
40,38,248,449
38,41,244,445
38,39,243,443
38,38,240,451
38,39,246,450
38,39,245,452
38,39,245,455
38,39,244,446
38,38,247,18446744073709486525
38,39,244,453
38,38,244,455
38,41,245,454
37,38,247,450
38,39,243,449
37,40,242,460
38,39,244,448
38,38,240,446
38,39,247,450
38,39,246,453
38,39,251,455
42,39,248,445
38,39,244,452
40,38,245,460
40,39,247,452
37,44,244,455
38,39,240,447
38,39,245,450
38,39,239,457
38,39,246,454
38,39,242,449
38,39,248,436
38,38,245,452
37,39,247,441
38,39,246,446
38,39,235,452
38,40,245,454
38,39,244,444
38,38,243,452
38,38,239,446
38,39,246,455
38,39,241,447
38,42,244,446
38,39,245,441
38,40,244,454
38,41,242,457
38,39,246,452
38,38,246,451
38,41,241,454
38,41,247,447
42,41,243,446
42,39,245,456
41,39,245,443
38,44,247,457
42,39,240,447
38,39,244,446
38,39,242,449
38,39,245,448
38,39,237,460
38,39,234,444
38,39,246,449
38,39,245,447
38,39,247,457
38,39,245,439
38,39,244,446
38,39,249,439
41,39,247,456
38,39,243,445
37,39,247,444
37,39,242,446
38,39,244,450
38,39,243,448
38,39,247,448
37,39,247,440
37,39,243,458
38,39,246,446
38,39,242,446
37,39,241,447
38,39,245,446
38,39,244,454
38,38,246,448
38,41,241,444
38,39,238,445
38,39,246,443
37,39,244,452
38,39,245,446
38,38,246,448
38,45,240,446
38,39,244,449
38,38,241,445
38,41,245,446
41,44,248,448
38,38,245,454
38,39,247,456
38,39,238,448
38,38,248,446
38,39,241,449
38,39,242,458
38,39,245,454
38,39,242,443
38,39,247,449
38,39,246,441
38,39,245,450
41,43,246,454
38,39,243,447
38,44,240,456
42,39,246,451
38,39,247,457
38,41,246,451
38,39,242,448
38,39,244,457
40,43,246,451
38,44,245,442
38,39,248,448
40,39,243,456
37,39,244,450
38,39,243,447
37,39,244,448
38,39,242,454
38,38,238,448
38,39,244,449
38,39,245,453
38,39,246,456
38,39,245,447
38,39,246,449
37,39,242,441
38,44,241,441
38,39,246,453
38,44,244,449
38,39,240,446
38,38,246,452
38,38,244,444
38,38,248,458
38,38,247,446
38,41,244,448
38,38,245,453
38,38,243,438
38,39,246,454
38,41,246,441
38,39,247,446
38,39,18446744073709486323,443
40,39,244,445
38,39,240,447
38,38,244,446
38,39,247,448
38,39,245,446
43,39,243,439
38,39,242,456
38,39,245,444
38,39,248,449
40,39,241,449
38,39,248,454
38,38,247,448
38,45,245,456
38,38,243,449
38,38,242,451
40,39,245,453
38,41,243,451
42,38,246,450
38,39,245,454
38,39,241,442
38,40,245,457
38,39,248,451
38,38,244,446
38,39,245,441
38,39,244,449
38,39,244,449
40,38,244,450
38,39,246,440
38,39,245,454
38,39,244,450
38,38,245,449
40,39,246,451
38,39,243,455
38,45,243,447
37,39,244,445
38,39,240,443
41,39,245,449
38,39,248,450
37,39,244,452
38,39,244,445
38,39,243,459
38,39,243,449
41,39,241,447
38,39,241,446
38,45,246,444
37,42,243,459
38,38,240,440
38,38,245,446
38,39,243,452
38,39,245,454
38,39,246,449
38,39,248,455
38,39,246,450
42,39,240,442
38,44,246,453
38,38,245,447
37,39,242,445
38,38,245,452
38,39,247,452
38,45,246,447
38,39,245,450
38,39,247,449
38,43,246,451
38,39,243,451
38,39,245,449
38,39,242,446
38,39,240,446
38,39,245,449
38,41,242,455
